epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
0,0.000315,0.000305,0.000258,0.3962,0.3723,0.3351,0.000008,0.000000,0.008410,0.0000,0.0156,8.00,8,0.3731
1,0.000137,0.000111,0.000644,0.3815,0.3603,0.2674,0.000001,-0.000000,0.004662,0.0000,0.0000,8.00,16,0.3997
2,0.000095,0.000060,0.000865,0.4638,0.4197,0.1726,0.000000,0.000000,0.003080,0.0000,0.1250,8.00,24,0.4956
