timestamp,util_pct,mem_used_mib
2026/05/26 00:34:34.018, 0, 10119
2026/05/26 00:34:36.019, 0, 10119
2026/05/26 00:34:38.020, 0, 10119
2026/05/26 00:34:40.020, 0, 10119
2026/05/26 00:34:42.020, 0, 10119
2026/05/26 00:34:44.020, 0, 10119
2026/05/26 00:34:46.021, 0, 10119
2026/05/26 00:34:48.021, 0, 10119
2026/05/26 00:34:50.021, 0, 10119
2026/05/26 00:34:52.022, 0, 10119
2026/05/26 00:34:54.022, 0, 10119
2026/05/26 00:34:56.022, 0, 10119
2026/05/26 00:34:58.023, 0, 10119
2026/05/26 00:35:00.023, 0, 10119
2026/05/26 00:35:02.023, 0, 10119
2026/05/26 00:35:04.024, 0, 10119
2026/05/26 00:35:06.024, 0, 10119
2026/05/26 00:35:08.024, 0, 10119
2026/05/26 00:35:10.024, 0, 10119
2026/05/26 00:35:12.025, 0, 10119
2026/05/26 00:35:14.025, 0, 10119
2026/05/26 00:35:16.025, 0, 10119
2026/05/26 00:35:18.026, 0, 10119
2026/05/26 00:35:20.026, 0, 10119
2026/05/26 00:35:22.026, 0, 10119
2026/05/26 00:35:24.026, 0, 10119
2026/05/26 00:35:26.027, 0, 10119
2026/05/26 00:35:28.027, 0, 10119
2026/05/26 00:35:30.027, 0, 10119
2026/05/26 00:35:32.027, 0, 10119
2026/05/26 00:35:34.028, 0, 10119
2026/05/26 00:35:36.028, 0, 10119
2026/05/26 00:35:38.028, 0, 10119
2026/05/26 00:35:40.029, 0, 10119
2026/05/26 00:35:42.029, 0, 10119
2026/05/26 00:35:44.029, 0, 10119
2026/05/26 00:35:46.029, 0, 10119
2026/05/26 00:35:48.030, 0, 10119
2026/05/26 00:35:50.030, 0, 10119
2026/05/26 00:35:52.030, 0, 10119
2026/05/26 00:35:54.030, 0, 10119
2026/05/26 00:35:56.031, 0, 10119
2026/05/26 00:35:58.031, 0, 10119
2026/05/26 00:36:00.031, 0, 10119
2026/05/26 00:36:02.031, 0, 10119
2026/05/26 00:36:04.032, 0, 10119
2026/05/26 00:36:06.032, 0, 10119
2026/05/26 00:36:08.032, 0, 10223
2026/05/26 00:36:10.033, 0, 10323
2026/05/26 00:36:12.033, 0, 10323
2026/05/26 00:36:14.033, 0, 10323
2026/05/26 00:36:16.033, 0, 10323
2026/05/26 00:36:18.034, 0, 10427
2026/05/26 00:36:20.034, 1, 11101
2026/05/26 00:36:22.034, 100, 12335
2026/05/26 00:36:24.035, 0, 12335
2026/05/26 00:36:26.035, 100, 13487
2026/05/26 00:36:28.035, 100, 14639
2026/05/26 00:36:30.035, 100, 15023
2026/05/26 00:36:32.036, 0, 15799
2026/05/26 00:36:34.036, 2, 15801
2026/05/26 00:36:36.036, 100, 15835
2026/05/26 00:36:38.036, 100, 15863
2026/05/26 00:36:40.037, 100, 15887
2026/05/26 00:36:42.037, 100, 15899
2026/05/26 00:36:44.037, 100, 15901
2026/05/26 00:36:46.037, 100, 15901
2026/05/26 00:36:48.037, 89, 15903
2026/05/26 00:36:50.038, 100, 15903
2026/05/26 00:36:52.038, 100, 15903
2026/05/26 00:36:54.038, 100, 15903
2026/05/26 00:36:56.038, 100, 15903
2026/05/26 00:36:58.039, 100, 15903
2026/05/26 00:37:00.039, 100, 15903
2026/05/26 00:37:02.039, 100, 15903
2026/05/26 00:37:04.039, 100, 15903
2026/05/26 00:37:06.040, 100, 15903
2026/05/26 00:37:08.040, 100, 15903
2026/05/26 00:37:10.040, 100, 15903
2026/05/26 00:37:12.040, 100, 15903
2026/05/26 00:37:14.041, 100, 15903
2026/05/26 00:37:16.041, 100, 15903
2026/05/26 00:37:18.041, 100, 15903
2026/05/26 00:37:20.041, 100, 15903
2026/05/26 00:37:22.042, 100, 15903
2026/05/26 00:37:24.042, 100, 15903
2026/05/26 00:37:26.042, 100, 15903
2026/05/26 00:37:28.042, 100, 15903
2026/05/26 00:37:30.043, 100, 15903
2026/05/26 00:37:32.043, 100, 15903
2026/05/26 00:37:34.043, 100, 15903
2026/05/26 00:37:36.043, 100, 15903
2026/05/26 00:37:38.044, 100, 15903
2026/05/26 00:37:40.044, 68, 15903
2026/05/26 00:37:42.044, 100, 15903
2026/05/26 00:37:44.044, 100, 15903
2026/05/26 00:37:46.045, 100, 15903
2026/05/26 00:37:48.045, 100, 15903
2026/05/26 00:37:50.045, 100, 15903
2026/05/26 00:37:52.045, 100, 15903
