epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
45,0.000054,0.000015,0.000954,0.4716,0.3549,0.1007,0.000000,-0.000000,0.001588,0.0000,0.0156,8.00,206,0.4716
46,0.000049,0.000003,0.001161,0.6325,0.3185,0.0556,0.000000,-0.000000,0.001597,0.0000,0.0000,8.00,214,0.6325
47,0.000055,0.000010,0.001133,0.6244,0.2943,0.1059,0.000000,0.000000,0.006586,0.0000,0.0156,8.00,222,0.6244
48,0.000056,0.000012,0.001107,0.4846,0.3254,0.0853,0.000000,0.000000,0.001956,0.0000,0.1250,8.00,230,0.4846
49,0.000050,0.000006,0.001119,0.5113,0.3327,0.0764,0.000000,-0.000000,0.001839,0.0000,0.0000,8.00,238,0.5113
50,0.000054,0.000006,0.001208,0.5528,0.3368,0.1076,0.000000,0.000000,0.003121,0.0000,0.0156,8.00,246,0.5528
51,0.000060,0.000008,0.001296,0.2546,0.2682,0.0694,0.000000,0.000000,0.001691,0.0000,0.1562,8.00,254,0.2546
52,0.000055,0.000010,0.001129,0.5373,0.2792,0.0694,0.000000,-0.000000,0.001531,0.0000,0.0000,8.00,261,0.5373
53,0.000056,0.000006,0.001247,0.5598,0.3271,0.0764,0.000000,0.000000,0.002330,0.0000,0.0312,8.00,269,0.5598
54,0.000053,0.000006,0.001181,0.4516,0.3469,0.0615,0.000000,0.000000,0.001501,0.0000,0.1250,8.00,277,0.4516
55,0.000058,0.000003,0.001376,0.5638,0.3014,0.0764,0.000000,-0.000000,0.001552,0.0000,0.0000,8.00,285,0.5638
56,0.000054,0.000004,0.001254,0.3753,0.3209,0.0799,0.000000,0.000000,0.002191,0.0000,0.0000,8.00,293,0.3753
57,0.000056,0.000006,0.001249,0.2506,0.3057,0.0536,0.000000,-0.000000,0.001700,0.0000,0.1250,8.00,300,0.2506
58,0.000048,0.000004,0.001096,0.4952,0.3720,0.0764,0.000000,-0.000000,0.001251,0.0000,0.0000,8.00,307,0.4952
59,0.000050,0.000001,0.001242,0.5730,0.3153,0.0469,0.000000,0.000000,0.001420,0.0000,0.0156,8.00,315,0.5730
60,0.000056,0.000007,0.001210,0.5037,0.3379,0.0833,0.000000,0.000000,0.001628,0.0000,0.0000,8.00,323,0.5037
61,0.000051,0.000002,0.001219,0.4756,0.3500,0.0573,0.000000,-0.000000,0.002076,0.0000,0.0156,8.00,330,0.4756
62,0.000056,0.000002,0.001355,0.5214,0.3284,0.0972,0.000000,-0.000000,0.001415,0.0000,0.1250,8.00,337,0.5214
63,0.000051,0.000003,0.001197,0.7088,0.3189,0.0816,0.000000,-0.000000,0.001559,0.0000,0.0469,8.00,345,0.7088
64,0.000064,0.000015,0.001224,0.3822,0.4004,0.1233,0.000000,0.000000,0.002533,0.0000,0.0000,8.00,353,0.3822
65,0.000050,0.000006,0.001117,0.6622,0.3273,0.0747,0.000000,-0.000000,0.002076,0.0000,0.0000,8.00,361,0.6622
66,0.000060,0.000008,0.001318,0.4629,0.3277,0.0747,0.000000,0.000000,0.002476,0.0000,0.0156,8.00,369,0.4629
67,0.000049,0.000002,0.001170,0.4719,0.3745,0.0573,0.000000,0.000000,0.001049,0.0000,0.0000,8.00,377,0.4719
68,0.000051,0.000002,0.001213,0.5702,0.3352,0.0556,0.000000,0.000000,0.001338,0.0000,0.0000,8.00,384,0.5702
69,0.000053,0.000003,0.001237,0.5018,0.3455,0.0764,0.000000,0.000000,0.003746,0.0000,0.0000,8.00,392,0.5018
